project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N04000073,"CONSTRUCTION OF NEW INTEGRATED 10/2013 TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR (AAI)",CIVIL AVIATION,Andaman And Nicobar Islands,,2013-10,417.23,707.73,707.73,698.8,2018-09,2023-05,2023-06,100.0,ongoing_census,2024-08
N22000584,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,RAILWAYS,Andaman And Nicobar Islands,N.A.) (N.A.,,235.72,,235.72,0.0,,,2025-03,0.0,ongoing_census,2024-08
N24000744,CONSTRUCTION OF MAJOR BRIDGE OVER MIDDLE STRAIT CREEK BETWEEN KM. 106.590 TO KM. 107.762 OF NH 223 (,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2015-03,262.97,,262.97,92.73,,,2026-02,41.55,ongoing_census,2024-08
N24000745,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,Mar-23) (N.A.,2017-03,409.85,,409.85,214.23,,2023-03,2024-07,89.07,ongoing_census,2024-08
N24000748,REHABILITATION AND UP GRADATION OF SECTION FROM KM 107.760 TO KM 129.445 (AFTER MIDDLE STRAIT TO HUM,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2018-02,391.0,,391.0,170.37,,2023-01,2025-08,57.55,ongoing_census,2024-08
N24000749,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2018-03,234.27,,234.27,126.5,,2022-11,2024-09,76.86,ongoing_census,2024-08
N24000820,Rehabilitation and up gradation to 2 lane 11/2017 with paved shoulder configuration from existing km. 122.00,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,,237.8,,238.0,222.13,2019-11,,2019-11,97.46,ongoing_census,2024-08
N24000821,RECONSTRUCTION WITH GEOMETRIC 11/2017 IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,2017-11,257.34,,238.0,214.9,2019-11,,2019-11,100.0,ongoing_census,2024-08
N24001008,AJANTHA TO BULDHANA,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,N.A.) (401.00,2017-02,401.0,401.0,401.0,260.08,,,2023-12,97.0,ongoing_census,2024-08
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,2017-08,177.1,,177.1,143.08,,2021-12,2024-01,100.0,ongoing_census,2024-08
N04000091,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,,611.8,,611.8,308.89,,,2025-06,52.0,ongoing_census,2024-08
N04000103,RAJAHMUNDRY AIRPORT: 12/2022 CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,CIVIL AVIATION,Andhra Pradesh,AAI,2022-12,347.15,,347.15,39.83,2025-08,,2025-08,24.0,ongoing_census,2024-08
N04000106,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,CIVIL AVIATION,Andhra Pradesh,AAI,2023-03,265.91,,265.91,22.06,,,2026-01,14.0,ongoing_census,2024-08
