project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N04000073,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",CIVIL AVIATION,Andaman And Nicobar Islands,AAI,2013-10,417.23,707.73,707.73,697.52,2018-09,2023-05,2023-06,100.0,ongoing_census,2024-06
N22000584,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH- JHL SECTION,RAILWAYS,Andaman And Nicobar Islands,NR,2019-03,235.72,,235.72,,2025-03,,2025-03,0.0,ongoing_census,2024-06
N24000744,CONSTRUCTION OF MAJOR BRIDGE OVER MIDDLE STRAIT CREEK BETWEEN KM. 106.590 TO KM. 107.762 OF NH 223 (,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,N.A.,2015-03,262.97,,262.97,92.73,2022-01,,2026-02,41.55,ongoing_census,2024-06
N24000745,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,2017-03,409.85,,409.85,214.23,2019-12,2023-03,2024-07,89.07,ongoing_census,2024-06
N24000748,REHABILITATION AND UP GRADATION OF SECTION FROM KM 107.760 TO KM 129.445 (AFTER MIDDLE STRAIT TO HUM,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,N.A.,,391.0,,391.0,170.37,2020-09,2023-01,2025-08,57.55,ongoing_census,2024-06
N24000749,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,NHIDCL,,234.27,,234.27,126.5,2020-09,2022-11,2024-09,76.86,ongoing_census,2024-06
N24000820,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,N.A.,,237.8,,238.0,222.13,2019-11,,2019-11,97.46,ongoing_census,2024-06
N24000821,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,MoRTH,2017-11,257.34,,238.0,214.9,2019-11,,2019-11,100.0,ongoing_census,2024-06
N24001008,AJANTHA TO BULDHANA,ROAD TRANSPORT AND HIGHWAYS,Andaman And Nicobar Islands,N.A.) (401.00,2017-02,401.0,401.0,401.0,260.08,2019-07,,2023-12,96.76,ongoing_census,2024-06
N04000089,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,2017-08,177.1,,177.1,143.08,2020-02,2021-12,2024-01,100.0,ongoing_census,2024-06
